,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
area ,employee id,in time(days),out time,total income
10,13,50,69,1494
200,13,36,46,1296
200,13,15,46,1195
200,13,11,46,1192
30,13,18,47,1267
10,13,16,47,1224
180,13,39,60,1485
180,13,24,60,1512
60,13,34,46,1680
60,13,25,46,1712
100,13,31,56,1476
100,13,35,56,1445
100,13,43,56,1379
20,13,43,48,2128
20,13,31,48,1956
40,13,27,57,1215
40,13,33,57,1216
10,13,46,51,1731
10,13,27,47,2218
60,13,43,47,2258
1,13,50,69,2243
1,13,36,46,2391
1,13,11,46,1490
1,13,18,47,1744
1,13,16,47,1589
1,13,39,60,3781
1,13,24,60,2192
1,13,34,46,2215
1,13,25,46,2312
1,13,31,56,2246
1,13,35,56,2503
1,13,43,56,1987
1,13,43,48,5053
1,13,31,48,2905
1,13,33,57,1966
1,13,27,47,2973
1,13,43,47,2948
1,13,10,41,1042
1,13,29,48,799
1,13,10,41,1273
1,13,29,48,1195
1,13,27,53,730
1,13,21,49,484
1,13,27,53,960
1,13,21,49,661
1,13,42,45,1821
1,13,37,45,3892
1,13,46,45,1850
1,13,45,45,2199
1,13,43,69,983
1,13,34,55,862
1,13,64,47,1940
1,13,33,55,1049
12,13,18,43,1485
1,13,27,43,1548
1,13,24,49,1392
1,13,29,51,2463
6,13,24,50,1660
1,13,29,50,2238
1,13,23,60,699
1,13,23,60,729
1,13,7,55,1087
12,13,29,55,1231
1,13,14,55,1211
1,13,14,51,924
1,13,11,51,954
1,13,12,48,960
6,13,18,52,1711
1,13,21,55,2363
1,13,9,48,1696
1,13,9,48,1679
10,13,7,48,1696
1,13,24,48,1855
1,13,15,55,1503
1,13,34,51,1653
1,13,26,45,1556
2,13,14,52,699
1,13,38,48,2313
18,13,12,43,835
18,13,13,43,724
6,13,10,43,709
1,13,38,46,2216
6,13,25,49,1396
6,13,28,44,1349
12,13,19,43,1563
1,13,20,57,1205
1,13,10,57,1217
10,13,19,52,1633
6,13,20,49,2113
1,13,36,58,824
1,13,38,52,1440
1,13,36,43,3041
1,13,29,48,1876
1,13,26,48,1876
1,13,31,47,3141
1,13,22,44,3500
1,13,35,44,2839
1,13,30,44,2200
1,13,18,44,2200
2,13,9,50,880
1,13,17,46,2176
1,13,56,52,2489
1,13,45,46,1841
30,13,21,47,3384
1,13,42,45,2731
1,13,37,45,5051
1,13,46,45,2774
2,13,45,45,3255
1,13,43,69,1338
2,13,34,55,1218
2,13,64,47,2875
3,13,33,55,1511
180,13,18,43,1919
20,13,27,43,1708
4,13,24,49,1705
1,13,29,51,4120
40,13,24,50,2464
20,13,29,50,3045
30,13,23,60,878
8,13,23,60,918
420,13,7,55,1418
420,13,29,55,1651
5,13,14,55,1631
25,13,14,51,1083
170,13,11,51,1078
12,13,12,48,1259
50,13,18,52,2958
2,13,21,55,3695
1,13,9,48,2036
2,13,9,48,2006
100,13,7,48,2036
2,13,24,48,2021
20,13,15,55,1549
40,13,34,51,2520
15,13,26,45,1738
8,13,14,52,937
4,13,38,48,3770
300,13,12,43,989
300,13,13,43,848
36,13,10,43,863
15,13,38,46,3498
47,13,25,49,1600
6,13,28,44,1641
85,13,19,43,1978
70,13,20,57,1200
15,13,10,57,1123
30,13,19,52,2460
50,13,20,49,3020
16,13,36,58,1058
1,13,38,52,2253
30,13,36,43,3591
330,13,29,48,3047
40,13,26,48,3047
11,13,31,47,3658
13,13,22,44,3752
13,13,35,44,3091
6,13,30,44,2452
4,13,18,44,2452
4,13,9,50,1079
1,13,17,46,3661
12,13,56,52,3947
2,13,45,46,3222
5,13,21,47,3874
5,13,32,39,1819
11,13,28,39,1805
5,13,25,39,1815
2,13,34,39,1834
21,13,31,39,1844
1,13,33,63,1170
1,13,18,49,1233
1,13,37,49,1687
1,13,31,49,1345
1,13,31,49,1287
2,13,41,49,1622
1,13,35,49,1154
2,13,28,42,1146
4,13,48,41,1860
1,13,66,41,1707
2,13,30,40,1189
1,13,34,49,1282
1,13,33,49,1248
1,13,41,49,1460
1,13,47,38,1286
1,13,38,38,1269
12,13,24,37,1412
1,13,33,37,1612
1,13,24,47,1649
1,13,27,47,1821
3,13,34,43,1522
1,13,24,45,2785
1,13,18,45,1745
12,13,23,44,1123
2,13,28,55,2079
2,13,36,55,2079
1,13,10,43,702
1,13,11,54,1094
1,13,11,54,1094
1,13,12,49,1048
1,13,13,49,804
1,13,36,42,3210
1,13,25,42,1018
16,13,20,46,1209
1,13,14,49,1786
1,13,11,42,1349
6,13,16,42,1349
2,13,20,49,1448
1,13,28,45,1576
1,13,29,39,1559
2,13,14,46,836
6,13,26,42,1946
1,13,14,44,1378
1,13,16,44,893
14,13,6,37,604
1,13,9,37,616
1,13,31,40,1301
1,13,32,46,1565
1,13,14,45,1771
1,13,29,45,2930
1,13,16,45,1771
2,13,30,43,1545
1,13,29,38,1124
6,13,28,37,1590
10,13,30,51,1164
1,13,23,40,1801
12,13,11,46,1391
6,13,22,43,1500
3,13,11,52,1090
1,13,12,57,952
6,13,16,50,928
1,13,46,46,1514
1,13,26,37,2568
6,13,29,42,1497
6,13,21,42,1289
1,13,23,55,1127
1,13,20,40,2241
1,13,16,51,892
6,13,28,55,1069
12,13,17,45,1670
8,13,15,40,2211
4,13,23,56,1819
1,13,17,40,1576
1,13,20,50,2035
1,13,15,50,1396
3,13,23,45,1606
6,13,19,55,1856
4,13,26,40,2195
1,13,12,41,3191
1,13,20,41,4016
1,13,19,41,3641
1,13,23,41,2721
1,13,26,41,3716
1,13,20,41,4041
1,13,15,41,2991
1,13,22,40,3766
4,13,64,39,3061
4,13,58,39,2894
2,13,24,40,2454
2,13,19,55,1890
3,13,15,40,2242
2,13,21,40,3003
1,13,27,49,1485
1,13,28,40,1551
1,13,39,42,1432
1,13,14,51,1447
10,13,32,39,2862
22,13,28,39,2824
11,13,25,39,2878
104,13,34,39,2870
43,13,31,39,2866
1,13,33,63,1513
1,13,18,49,1740
1,13,37,49,2230
1,13,31,49,1735
1,13,31,49,1544
2,13,41,49,2042
4,13,35,49,1475
8,13,28,42,1472
19,13,48,41,2954
1,13,66,41,3032
70,13,30,40,1551
1,13,34,49,1664
1,13,33,49,1679
20,13,41,49,1835
1,13,47,38,1767
1,13,38,38,1662
48,13,24,37,1808
20,13,33,37,2008
6,13,24,47,2190
1,13,27,47,2162
3,13,34,43,1871
1,13,24,45,4272
1,13,18,45,2602
20,13,23,44,1650
2,13,28,55,3534
2,13,36,55,3534
1,13,10,43,935
12,13,11,54,1528
6,13,11,54,1528
18,13,12,49,1487
3,13,13,49,1378
6,13,36,42,5331
6,13,25,42,1305
36,13,20,46,1925
1,13,14,49,2177
4,13,11,42,1636
10,13,16,42,1636
20,13,20,49,2021
8,13,28,45,2166
6,13,29,39,1948
6,13,14,46,1205
6,13,26,42,2387
2,13,14,44,1867
1,13,16,44,1167
36,13,6,37,928
16,13,9,37,928
6,13,31,40,2102
5,13,32,46,2706
1,13,14,45,2312
1,13,29,45,4197
1,13,16,45,2312
4,13,30,43,1865
3,13,29,38,1564
12,13,28,37,1967
220,13,30,51,1429
6,13,23,40,2142
40,13,11,46,1732
12,13,22,43,2017
12,13,11,52,1569
15,13,12,57,1031
30,13,16,50,1092
3,13,46,46,2119
4,13,26,37,4806
90,13,29,42,2471
160,13,21,42,2239
3,13,23,55,1672
1,13,20,40,3491
12,13,16,51,1418
26,13,28,55,1629
12,13,17,45,2830
4,13,15,40,3116
8,13,23,56,3039
1,13,17,40,2321
66,13,20,50,3220
5,13,15,50,1876
7,13,23,45,2786
20,13,19,55,2548
2,13,26,40,3888
1,13,12,41,4082
1,13,20,41,4932
1,13,19,41,4682
3,13,23,41,3296
3,13,26,41,4682
150,13,20,41,4607
6,13,15,41,3832
190,13,22,40,5732
2,13,64,39,4964
2,13,58,39,5152
7,13,24,40,3344
1,13,19,55,2581
1,13,15,40,3149
1,13,21,40,4531
1,13,27,49,2126
1,13,28,40,2412
1,13,39,42,1615
80,13,14,51,1971
1,13,25,54,1421
1,13,25,54,1836
1,13,3,39,1400
1,13,16,39,1611
6,13,6,39,1506
1,13,3,39,1816
1,13,3,39,1912
1,13,16,39,2563
2,13,6,39,2159
1,13,3,39,2755
2,13,29,46,1063
4,13,23,40,737
4,13,19,39,742
2,13,29,46,1627
88,13,23,40,933
88,13,19,39,933
1,13,17,35,2234
1,13,28,35,2174
1,13,17,35,1864
1,13,16,35,2234
1,13,18,35,1849
1,13,27,35,1744
1,13,22,35,2234
1,13,24,35,1883
1,13,20,35,2234
1,13,30,35,2199
1,13,20,35,2214
1,13,11,38,1774
1,13,12,59,507
2,13,4,54,510
1,13,7,59,482
12,13,8,59,418
2,13,9,59,491
12,13,11,59,549
