,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
area ,employee id,in time(days),out time,total income
83,17,11,58,4726
1,17,24,42,2573
54,17,19,81,2706
60,17,13,10,1942
83,17,33,40,4583
17,17,22,99,2281
92,17,32,89,4920
95,17,40,13,2030
65,17,46,51,2792
47,17,46,84,1908
89,17,31,14,2079
91,17,31,57,4569
46,17,47,58,3121
58,17,8,43,4675
92,17,46,28,3789
63,17,39,48,4640
73,17,26,75,2834
59,17,1,81,4852
1,17,16,27,3192
61,17,23,68,4473
43,17,27,64,4039
84,17,1,95,1989
70,17,40,62,4282
82,17,36,27,3685
66,17,49,93,3915
24,17,5,22,2032
1,17,38,14,2044
49,17,21,8,2765
32,17,3,6,2536
90,17,38,94,4639
49,17,32,7,3476
12,17,7,67,3582
55,17,39,69,2784
25,17,2,46,3520
52,17,44,46,4891
11,17,32,57,2927
84,17,3,44,4531
27,17,45,76,3551
17,17,43,62,3381
75,17,27,77,1506
93,17,9,96,3024
24,17,32,56,2160
18,17,19,82,2131
43,17,26,92,3808
74,17,47,83,3099
94,17,42,53,3094
98,17,7,44,4257
37,17,27,6,3866
33,17,46,17,3989
71,17,24,93,4656
91,17,16,19,3097
7,17,22,16,3157
27,17,35,26,4238
72,17,13,15,4338
89,17,16,76,3323
49,17,9,16,4212
58,17,23,16,3807
22,17,41,84,2475
87,17,12,43,3488
82,17,13,71,2952
85,17,42,63,3638
52,17,14,9,3583
60,17,21,16,4040
38,17,46,41,1783
82,17,4,27,2561
4,17,3,4,3979
18,17,36,62,3008
41,17,24,71,1685
75,17,16,58,2513
55,17,49,22,2040
59,17,15,18,3490
24,17,24,59,4262
76,17,34,90,3141
70,17,20,9,1587
87,17,13,20,2704
20,17,3,17,1589
49,17,32,48,4446
61,17,14,68,2390
76,17,48,30,3248
94,17,44,78,4713
33,17,14,39,4649
32,17,3,39,4125
86,17,19,12,3324
53,17,36,98,3717
42,17,49,79,2544
69,17,8,53,3822
24,17,16,75,2534
80,17,25,33,3989
25,17,41,99,1598
41,17,4,94,2931
50,17,25,78,2428
99,17,16,96,3125
83,17,40,71,2086
64,17,13,68,4543
66,17,1,89,3304
86,17,18,29,3847
93,17,24,50,3033
90,17,22,20,3605
26,17,27,28,2829
68,17,48,36,4307
40,17,2,42,2238
80,17,31,44,4106
5,17,42,90,1789
95,17,24,90,1831
66,17,21,59,2572
35,17,18,73,4227
69,17,20,15,3848
21,17,21,43,4380
81,17,25,61,4763
59,17,25,44,2305
79,17,36,13,4913
45,17,19,88,2365
2,17,24,2,2733
54,17,29,56,4699
51,17,1,81,3704
9,17,25,27,4432
95,17,21,17,3035
55,17,31,13,2722
69,17,36,33,2349
33,17,33,64,3407
13,17,27,23,1806
17,17,20,19,3250
49,17,26,40,3777
85,17,11,73,1770
2,17,26,96,3541
47,17,45,80,1927
92,17,31,65,4378
10,17,37,69,2837
11,17,6,96,2883
7,17,22,86,3542
58,17,27,54,2821
87,17,37,23,4224
28,17,12,28,3443
39,17,44,90,2184
28,17,17,9,4575
64,17,41,89,3179
69,17,2,15,4052
26,17,29,61,4157
42,17,38,26,1596
74,17,41,87,3518
55,17,24,32,2618
68,17,17,27,2387
22,17,5,62,3727
13,17,36,31,4591
3,17,31,75,3120
95,17,26,86,2638
14,17,30,31,4272
77,17,3,99,3093
51,17,34,74,3508
57,17,25,22,3343
54,17,34,59,4766
42,17,17,65,4959
11,17,13,72,2122
97,17,45,94,1633
16,17,1,38,3803
2,17,42,20,4145
32,17,29,27,1938
67,17,13,98,4882
66,17,37,72,4867
65,17,28,78,2294
39,17,45,15,4734
46,17,48,73,2061
25,17,12,2,2380
67,17,28,43,1522
41,17,49,75,4495
59,17,11,79,4651
81,17,11,93,4746
2,17,13,81,2505
36,17,3,14,4081
72,17,3,5,4087
24,17,2,29,3421
96,17,36,72,3489
23,17,43,26,3874
44,17,48,31,2321
67,17,6,93,3549
77,17,13,46,1504
32,17,13,4,4833
66,17,29,81,2593
7,17,11,48,3439
77,17,15,54,2751
27,17,47,4,2018
91,17,39,68,3317
27,17,23,13,4632
17,17,42,91,2465
58,17,10,19,1816
12,17,20,94,3168
97,17,11,29,2514
63,17,38,95,2001
88,17,7,50,3739
42,17,48,23,3059
11,17,7,40,2367
70,17,48,46,3938
70,17,42,20,2772
98,17,7,44,1552
20,17,16,50,3943
82,17,5,10,2124
47,17,15,49,2368
13,17,30,34,3563
89,17,29,72,1514
84,17,3,44,3903
74,17,9,38,1763
3,17,33,35,3333
33,17,18,85,2558
75,17,8,52,2078
19,17,3,48,4377
19,17,49,39,3136
31,17,2,85,2558
35,17,32,23,2702
42,17,35,95,3094
74,17,16,32,4045
23,17,38,75,4037
79,17,46,51,4338
25,17,39,59,4294
32,17,12,57,2277
71,17,27,29,2801
61,17,26,60,2679
69,17,23,9,4003
67,17,26,7,4736
23,17,7,5,2924
35,17,34,36,3166
39,17,5,44,4070
56,17,15,2,3261
68,17,45,34,4343
73,17,28,47,3243
28,17,27,91,2736
5,17,9,3,2414
86,17,45,85,1966
67,17,4,32,3846
17,17,6,22,3989
96,17,22,61,2768
80,17,19,26,3501
28,17,23,78,4907
96,17,47,6,1513
58,17,37,76,4165
61,17,42,41,2212
79,17,25,63,2898
9,17,35,56,1532
44,17,25,31,2289
19,17,35,34,3565
88,17,39,30,1771
87,17,42,38,2750
85,17,7,18,2618
12,17,10,21,2739
73,17,29,80,3663
77,17,19,16,4022
99,17,1,95,2409
49,17,48,71,2658
15,17,8,34,2269
92,17,48,88,4794
68,17,22,51,1801
99,17,41,93,4197
50,17,19,20,2511
65,17,13,5,2224
16,17,29,81,3959
46,17,2,23,3874
58,17,30,81,3385
17,17,4,4,4284
30,17,25,55,4799
25,17,1,15,4289
89,17,32,37,4329
90,17,34,7,3472
37,17,10,42,4893
38,17,45,50,4711
40,17,15,12,1908
79,17,29,97,2644
20,17,35,75,1528
82,17,49,45,2132
96,17,17,95,4288
59,17,10,95,3245
50,17,31,33,3616
82,17,8,24,4202
56,17,4,69,4681
98,17,48,29,4579
15,17,26,95,2777
79,17,8,77,4858
58,17,15,93,3279
27,17,49,12,2515
82,17,37,94,2872
59,17,48,21,4031
23,17,40,32,4172
86,17,16,41,4318
64,17,25,10,3064
28,17,7,3,2657
62,17,29,54,2788
41,17,48,91,4048
21,17,32,64,2189
87,17,48,60,1784
63,17,13,43,2065
18,17,1,75,1732
65,17,2,7,4245
14,17,6,8,1866
60,17,48,14,2853
62,17,10,8,2213
18,17,34,55,2709
78,17,27,58,3366
4,17,40,13,3445
62,17,6,21,3826
69,17,44,45,1641
85,17,20,96,3565
88,17,35,98,3094
31,17,12,58,2741
28,17,7,94,3667
5,17,11,30,1981
14,17,40,50,3039
80,17,2,50,2969
39,17,26,98,3385
34,17,39,80,1517
60,17,17,57,4233
24,17,32,13,4748
76,17,38,11,2107
36,17,38,74,4968
32,17,39,60,3323
21,17,1,63,4621
16,17,18,95,4004
46,17,23,69,4180
12,17,20,83,4849
43,17,39,2,4197
60,17,35,99,4819
67,17,27,97,1635
39,17,7,11,3706
90,17,38,44,3179
59,17,41,76,2179
55,17,13,60,2377
55,17,6,78,3014
97,17,28,2,1867
39,17,20,22,2865
53,17,32,89,4129
80,17,47,41,2375
59,17,36,83,4924
73,17,38,40,2967
26,17,41,20,4585
74,17,20,4,2819
97,17,38,70,3262
47,17,21,93,3414
8,17,38,43,3734
52,17,46,95,4231
33,17,48,45,1972
39,17,20,66,1652
46,17,41,86,3696
71,17,5,36,2187
57,17,8,7,2270
52,17,28,95,4502
55,17,36,77,4395
6,17,46,76,4760
14,17,4,55,4940
95,17,10,31,3281
99,17,48,49,2462
28,17,40,36,2230
79,17,28,64,4267
40,17,18,97,2193
15,17,9,25,2106
18,17,12,59,4532
13,17,5,65,4988
62,17,46,40,3297
55,17,9,86,1707
72,17,6,70,2284
68,17,26,41,1703
92,17,4,72,1505
75,17,44,59,3696
46,17,30,22,4915
99,17,21,10,2707
88,17,18,55,2561
10,17,24,54,3292
48,17,38,70,1647
91,17,5,98,1635
86,17,34,59,3330
89,17,43,13,4423
70,17,48,71,2929
2,17,27,41,4233
57,17,36,3,4945
32,17,41,68,3654
15,17,16,99,1909
99,17,13,17,2498
50,17,32,85,3451
80,17,34,80,2146
70,17,8,71,4106
77,17,35,44,4845
4,17,11,63,2525
29,17,49,23,3654
48,17,23,76,4618
50,17,35,70,3802
30,17,2,68,2151
58,17,12,24,4239
16,17,46,7,3013
41,17,43,45,2162
12,17,21,95,3311
22,17,35,30,1810
10,17,18,72,3445
18,17,47,80,3824
69,17,32,47,2753
74,17,35,24,1766
47,17,18,39,4556
2,17,41,64,4932
96,17,43,49,3293
94,17,20,79,1893
4,17,26,67,2353
75,17,18,89,4219
99,17,19,23,2845
76,17,20,29,1829
81,17,12,36,2480
49,17,7,82,4295
95,17,23,52,4983
68,17,44,51,3723
38,17,36,53,4647
86,17,9,45,2875
94,17,21,5,3776
26,17,29,18,3369
82,17,8,76,3922
3,17,15,26,4771
16,17,30,99,3495
94,17,29,30,2882
65,17,37,2,2688
28,17,34,12,2679
36,17,18,87,1924
94,17,38,65,2067
55,17,16,72,4187
91,17,14,85,3080
24,17,40,61,2087
85,17,28,7,4941
67,17,12,52,2398
48,17,26,36,1773
87,17,18,16,3078
71,17,48,74,2379
75,17,16,57,2360
53,17,19,16,3306
60,17,28,91,4444
27,17,20,60,4654
98,17,3,72,2069
34,17,6,27,1722
95,17,43,1,4181
13,17,37,19,1610
59,17,15,21,2167
51,17,47,96,3778
22,17,26,5,1900
30,17,16,59,3980
25,17,29,93,3372
16,17,9,38,4412
38,17,27,1,3025
45,17,12,17,2805
27,17,24,3,2937
59,17,31,35,3909
55,17,16,65,2613
15,17,23,29,3633
1,17,3,47,3822
64,17,43,60,4362
98,17,8,83,2899
91,17,17,13,2112
22,17,42,76,3864
57,17,49,59,3114
30,17,29,86,3638
52,17,13,70,1763
75,17,45,32,4843
37,17,23,59,1507
50,17,5,18,4529
81,17,1,52,2143
82,17,14,72,3627
38,17,32,16,3322
8,17,49,38,3679
91,17,46,19,2727
42,17,33,90,3946
94,17,12,20,4396
53,17,19,87,3055
66,17,49,68,2244
90,17,32,34,2841
23,17,26,80,2933
15,17,23,31,4688
47,17,40,94,4797
42,17,36,92,3404
76,17,37,80,1599
26,17,15,3,1652
47,17,27,22,4946
28,17,39,97,3655
27,17,23,42,2480
81,17,27,96,3873
37,17,7,79,3023
97,17,18,30,2194
22,17,23,63,2534
21,17,20,51,1769
3,17,15,64,1757
31,17,5,47,1695
